"code","count","date.min","date.max","product.count","date.range","cover_planting","cc_termination_date","date.range.fields","treatment","type","year","cc_harvest_date","cc_species","date.range.diff","planting.min.diff","plant.max.diff","term.max.diff","Flagged"
"VEZ",86,2021-10-24,2022-05-31,2,219,2021-11-03,2022-05-16,194,"C","corner",2022,2022-05-19,"Crimson Clover-Hairy Vetch-Wheat",25,10,-10,-15,"0"
"VMF",65,2020-10-27,2021-04-21,2,176,2020-11-03,2021-04-09,157,"C","corner",2021,2021-04-05,"Cereal Rye-Oats/Black Oats",19,7,-7,-12,"0"
"VOP",71,2020-10-08,2021-05-08,2,212,2020-10-18,2021-04-24,188,"C","corner",2021,2021-04-23,"Cereal Rye-Crimson Clover",24,10,-10,-14,"0"
"VPE",90,2022-10-06,2023-04-27,1,203,2022-10-15,2023-04-17,184,"C","corner",2023,2023-04-24,"Cereal Rye",19,9,-9,-10,"0"
"VSJ",141,2020-10-23,2022-04-28,2,552,2020-11-02,2021-05-02,181,"C","corner",2021,2021-04-30,"Wheat",371,10,-10,-361,"0"
"VWD",84,2021-10-05,2022-05-21,2,228,2021-10-15,2022-05-06,203,"C","corner",2022,2022-05-04,"Wheat",25,10,-10,-15,"0"
"VYG",74,2021-09-02,2022-04-24,2,234,2021-09-01,2022-04-06,217,"C","corner",2022,2022-03-28,"Cereal Rye",17,-1,1,-18,"0"
"VZC",121,2021-09-15,2022-06-09,1,267,2021-09-15,2022-05-24,251,"C","corner",2022,2022-05-24,"Other Brassica spp",16,0,0,-16,"0"
"VZR",60,2020-11-21,2021-05-17,2,177,2020-12-01,2021-04-28,148,"C","corner",2021,2021-04-27,"Cereal Rye-Crimson Clover-Hairy Vetch-Radish/Turnip",29,10,-10,-19,"0"
"WBD",68,2020-11-06,2021-05-24,2,199,2020-11-16,2021-05-14,179,"C","corner",2021,2021-05-18,"Cereal Rye",20,10,-10,-10,"0"
"WFJ",69,2020-09-29,2021-04-13,2,196,2020-10-07,2021-04-06,181,"C","corner",2021,2021-04-06,"Oats/Black Oats",15,8,-8,-7,"1"
"WOS",103,2022-11-13,2023-05-31,1,199,2022-11-23,2023-05-17,175,"C","corner",2023,2023-05-12,"Cereal Rye-Radish/Turnip-Rape/Canola",24,10,-10,-14,"0"
"WPQ",54,2020-12-01,2021-05-04,2,154,2020-12-10,2021-04-14,125,"C","corner",2021,2021-04-14,"Cereal Rye-Oats/Black Oats-Other Brassica spp-Other Vetch spp-Winter Peas",29,9,-9,-20,"0"
"XBM",73,2020-08-23,2021-05-13,2,263,2020-09-01,2021-05-04,245,"C","corner",2021,2021-05-04,"Cereal Rye",18,9,-9,-9,"1"
"XFS",81,2021-10-26,2022-04-25,2,181,2021-11-04,2022-04-07,154,"C","corner",2022,2022-04-05,"Wheat",27,9,-9,-18,"0"
"XLS",76,2020-10-30,2021-05-25,2,207,2020-10-27,2021-05-08,193,"C","corner",2021,2021-05-06,"Cereal Rye",14,-3,3,-17,"0"
"XNM",67,2020-08-02,2021-04-30,2,271,2020-08-01,2021-04-15,257,"C","corner",2021,2021-04-12,"Barley-Cereal Rye-Crimson Clover-Hairy Vetch-Oats/Black Oats-Radish/Turnip-Rape/Canola-Winter Peas",14,-1,1,-15,"0"
"XVB",50,2021-11-08,2022-05-09,2,182,2021-11-02,2022-04-26,175,"C","corner",2022,2022-04-25,"Cereal Rye-Crimson Clover-Hairy Vetch",7,-6,6,-13,"0"
"XVY",97,2021-09-19,2022-04-26,2,219,2021-09-29,2022-04-26,209,"C","corner",2022,2022-03-21,"Cereal Rye",10,10,-10,0,"1"
"XZY",70,2020-09-21,2021-03-14,2,174,2020-10-01,2021-03-06,156,"C","corner",2021,2021-03-12,"Crimson Clover-Oats/Black Oats-Other Brassica spp",18,10,-10,-8,"1"
"YAA",84,2022-10-27,2023-05-26,1,211,2022-11-04,2023-05-13,190,"C","corner",2023,2023-05-10,"Hairy Vetch-Wheat",21,8,-8,-13,"0"
"YBR",103,2021-09-30,2022-05-17,2,229,2021-10-10,2022-05-15,217,"C","corner",2022,2022-05-09,"Cereal Rye",12,10,-10,-2,"1"
"YLM",108,2021-09-27,2022-04-26,2,211,2021-10-07,2022-04-19,194,"C","corner",2022,2022-04-22,"Cereal Rye-Crimson Clover-Other Brassica spp-Radish/Turnip-Rape/Canola",17,10,-10,-7,"1"
"YLT",106,2020-09-03,2021-03-26,1,204,2020-09-01,2021-03-27,207,"C","corner",2021,2021-04-01,"Wheat",3,-2,2,1,"1"
"YRV",88,2020-09-24,2021-05-07,2,225,2020-09-22,2021-04-30,220,"C","corner",2021,2021-04-26,"Cereal Rye-Winter Peas",5,-2,2,-7,"1"
"YUO",77,2022-12-23,2023-06-18,1,177,2023-01-01,2023-05-31,150,"C","corner",2023,2023-05-25,"Cereal Rye",27,9,-9,-18,"0"
"ZEE",106,2022-09-13,2023-05-15,1,244,2022-09-22,2023-05-04,224,"C","corner",2023,2023-05-03,"Barley-Wheat",20,9,-9,-11,"0"
"ZFW",78,2022-11-18,2023-04-21,1,154,2022-11-28,2023-04-10,133,"C","corner",2023,2023-04-03,"Cereal Rye-Crimson Clover-Hairy Vetch-Oats/Black Oats",21,10,-10,-11,"0"
"ZGT",92,2020-11-02,2021-04-27,2,176,2020-11-05,2021-04-18,164,"C","corner",2021,2021-04-21,"Cereal Rye-Crimson Clover-Hairy Vetch",12,3,-3,-9,"1"
"ZJH",118,2022-09-17,2023-05-26,1,251,2022-09-27,2023-05-09,224,"C","corner",2023,2023-05-08,"Wheat",27,10,-10,-17,"0"
"ZMK",63,2020-09-13,2021-04-11,2,210,2020-09-17,2021-04-03,198,"C","corner",2021,2021-04-07,"Ryegrass",12,4,-4,-8,"1"
"ZTP",114,2022-09-27,2023-05-21,1,236,2022-10-07,2023-05-05,210,"C","corner",2023,2023-05-04,"Cereal Rye",26,10,-10,-16,"0"
